id,binaryPoolCreated,linearPoolCreated,convexPoolCreated,concavePoolCreated,liquidityAdded,liquidityRemoved,buyLimitOrderCreatedAndFilled,sellLimitOrderCreatedAndFilled,buyLimitOrderFilled,sellLimitOrderFilled,finalValueReported,reportedValueChallenged,positionTokenRedeemed,feesClaimed,feeClaimsTransferred,Points
0x000000119250c43d6d22c70dc39819f866abe99e,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False,1800.0
0x0000002a86fccb4c2c3ff4f1ba87a393458834bc,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,1800.0
0x000000330657b9fff0584569afa72bb755762510,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,1200.0
0x00000038979db46daf9885e8836ba743d8583f4b,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,1800.0
0x00000039d07ce382d8d89fd144033869633d278e,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,800.0
0x000000558560405210d93ae51e84432c32b6c41a,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,1800.0
0x0000005b635f46d4052f7b75f6ce15f8be702d6a,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,600.0
0x0000007c60fab7a70c2ae0ebe437f3726b05e7eb,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,1000.0
0x0000007e2c32be0af585798089e7a94968c9d6a3,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,1200.0
0x0000009cfc21125a412cdc9967836a51cab3568d,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,600.0
0x000000ae4bd955fbecd0b536540fead97077c083,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,1600.0
0x000000c0e02553c602d9ffb951f0ccd97d5abf5b,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,1200.0
0x0000015d1a32a7a10e90fddb4ba13cf905646333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,200.0
0x000002044cffd3dd594e6a554b36d146240d9954,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,200.0
